Source, Target
41949140,272114651
41949140,37667472
41949140,21619519
356433076,33537967
356433076,7334402
356433076,216481299
356433076,15059667
118512585,1339835893
2713391,216776631
209507198,110161704
110337013,15808765
34228182,20177423
16866585,42389136
16866585,49698134
93288759,1339835893
145889593,276254736
1235942888,28636739
8721582,1339835893
8721582,813286
123921991,702725764706226176
27524205,14377605
27524205,1339835893
27524205,172858784
41949140,16031927
41949140,23970102
100891481,155784594
510832740,33537967
510832740,15900384
159930435,1339835893
365250676,33537967
21970680,20733972
46111679,95431448
536528296,488679352
19045427,29471556
25714160,216776631
116002627,13850422
72346752,47475039
72346752,530897798
16565229,14377605
16565229,1093090866
150469846,529702074
150469846,47680487
132745629,1339835893
132745629,469194846
139923175,17068146
23737735,727256361877262336
23737735,770852108
277845186,15675138
29965802,115979444
2873589787,1339835893
16227643,33537967
29387336,216776631
287349555,110445334
15367216,15808765
4086876132,759251
4086876132,2836421
4086876132,26585095
462257275,25073877
743087502475546625,7587032
743087502475546625,1339835893
167241755,15808765
4550860213,2281105998
89036074,15808765
362254373,30364057
296848450,1330457336
534240647,480928357
534240647,3353604197
222695674,60919240
222695674,496559962
222695674,216776631
3006066167,216776631
19214412,4901203461
120151540,25073877
201800268,358545917
42520414,618300542
710219986,15808765
2988501189,8370082
2988501189,110803365
2988501189,43638469
3951717520,973772658
4487653995,1918607276
4487653995,171893542
4487653995,1074510032
4487653995,155340985
4487653995,192578825
4487653995,586960864
4487653995,145615279
4487653995,1011367170
17241629,6211972
277717383,15808765
16638041,1339835893
281829336,313091751
281829336,17525171
14808307,743267058641625088
615661632,43383705
25773642,172858784
185637973,1339835893
19469565,1339835893
404111427,1339835893
57823106,1339835893
562587521,1339835893
973203944,33537967
973203944,35094637
973203944,21021385
38930851,25073877
213683271,1106501
38374300,2488541
590516071,14377605
703350939873206272,14377605
575839267,14511951
575839267,1339835893
575839267,29442313
575839267,188021635
258940867,1339835893
3071865000,1339835893
15498938,1536791610
19677731,41986588
19677731,14511951
19677731,376502929
19677731,14377605
23013488,1330457336
10723382,1339835893
314977014,54208274
328059473,153486399
31878320,1339835893
29232966,409486555
29232966,475811383
29232966,329323059
29232966,41634520
17443356,1339835893
888040524,14377605
888040524,8370082
888040524,16589206
888040524,17995040
888040524,19091173
18905432,755113
18905432,188793260
70248716,1330457336
18071073,25073877
98221214,1367531
4417764312,19222164
43643203,15985455
